date,regularballs,powerball
"November 28, 2018","4, 19, 59, 68, 69",21
"December 1, 2018","10, 11, 47, 55, 58",26
"December 5, 2018","9, 11, 36, 37, 38",11
"December 8, 2018","14, 32, 34, 46, 61",10
"December 12, 2018","4, 9, 21, 29, 64",26
"December 15, 2018","8, 38, 43, 52, 55",17
"December 19, 2018","15, 29, 31, 37, 43",16
"December 22, 2018","21, 28, 30, 40, 59",26
"December 26, 2018","5, 25, 38, 52, 67",24
"December 29, 2018","12, 42, 51, 53, 62",25
"January 2, 2019","8, 12, 42, 46, 56",12
"January 5, 2019","3, 7, 15, 27, 69",19
"January 9, 2019","6, 19, 37, 49, 59",22
"January 12, 2019","7, 36, 48, 57, 58",24
"January 16, 2019","14, 29, 31, 56, 61",1
"January 19, 2019","5, 8, 41, 65, 66",20
"January 23, 2019","23, 25, 47, 48, 50",24
"January 26, 2019","8, 12, 20, 21, 32",10
"January 30, 2019","2, 12, 16, 29, 54",6
"February 2, 2019","10, 17, 18, 43, 65",13
"February 6, 2019","5, 13, 28, 38, 63",21
"February 9, 2019","1, 2, 3, 7, 39",25
"February 13, 2019","2, 8, 14, 24, 69",26
"February 16, 2019","29, 30, 41, 48, 64",1
"February 20, 2019","27, 49, 50, 51, 52",2
"February 23, 2019","4, 6, 14, 20, 32",13
"February 27, 2019","21, 31, 42, 49, 59",23
"March 2, 2019","1, 19, 25, 27, 68",21
"March 6, 2019","6, 10, 21, 35, 46",23
"March 9, 2019","5, 6, 45, 55, 59",14
"March 13, 2019","18, 36, 45, 47, 69",14
"March 16, 2019","30, 34, 39, 53, 67",11
"March 20, 2019","10, 14, 50, 53, 63",21
"March 23, 2019","24, 25, 52, 60, 66",5
"March 27, 2019","16, 20, 37, 44, 62",12
"March 30, 2019","21, 52, 54, 64, 68",4
"April 3, 2019","16, 19, 25, 32, 49",18
"April 6, 2019","15, 33, 43, 59, 60",8
"April 10, 2019","12, 21, 23, 39, 67",6
"April 13, 2019","4, 17, 26, 32, 49",10
"April 17, 2019","1, 15, 17, 46, 66",15
"April 20, 2019","3, 27, 30, 63, 65",1
"April 24, 2019","6, 32, 35, 36, 65",4
"April 27, 2019","2, 29, 41, 45, 62",6
"May 1, 2019","5, 23, 28, 56, 66",17
